id;ideol_18_mdb;ideol_18_ptb;ideol_18_pdt;ideol_18_pt;ideol_18_dem;ideol_18_p_cdo_b;ideol_18_psb;ideol_18_psdb;ideol_18_ptc;ideol_18_psc;ideol_18_pmn;ideol_18_prp;ideol_18_pps;ideol_18_pv;ideol_18_avante;ideol_18_progressistas;ideol_18_pstu;ideol_18_pcb;ideol_18_prtb;ideol_18_phs;ideol_18_dc;ideol_18_pco;ideol_18_pode;ideol_18_psl;ideol_18_prb;ideol_18_psol;ideol_18_pr;ideol_18_psd;ideol_18_ppl;ideol_18_patri;ideol_18_pros;ideol_18_sdd;ideol_18_novo;ideol_18_rede;ideol_18_pmb;obj_18_mdb;obj_18_ptb;obj_18_pdt;obj_18_pt;obj_18_dem;obj_18_p_cdo_b;obj_18_psb;obj_18_psdb;obj_18_ptc;obj_18_psc;obj_18_pmn;obj_18_prp;obj_18_pps;obj_18_pv;obj_18_avante;obj_18_progre;obj_18_pstu;obj_18_pcb;obj_18_prtb;obj_18_phs;obj_18_dc;obj_18_pco;obj_18_pode;obj_18_psl;obj_18_prb;obj_18_psol;obj_18_pr;obj_18_psd;obj_18_ppl;obj_18_patri;obj_18_pros;obj_18_sdd;obj_18_novo;obj_18_rede;obj_18_pmb;ideol_22_mdb;ideol_22_uniao;ideol_22_ptb;ideol_22_pdt;ideol_22_pt;ideol_22_p_cdo_b;ideol_22_psb;ideol_22_psdb;ideol_22_agir;ideol_22_psc;ideol_22_pmn;ideol_22_cdd;ideol_22_pv;ideol_22_avante;ideol_22_progre;ideol_22_pstu;ideol_22_pcb;ideol_22_prtb;ideol_22_dc;ideol_22_pco;ideol_22_podemos;ideol_22_rep;ideol_22_psol;ideol_22_pl;ideol_22_psd;ideol_22_patri;ideol_22_pros;ideol_22_sdd;ideol_22_novo;ideol_22_rede;ideol_22_pmb;ideol_22_up;obj_22_mdb;obj_22_ptb;obj_22_pdt;obj_22_pt;obj_22_p_cdo_b;obj_22_psb;obj_22_psdb;obj_22_agir;obj_22_psc;obj_22_pmn;obj_22_cdd;obj_22_pv;obj_22_avante;obj_22_progre;obj_22_pstu;obj_22_pcb;obj_22_prtb;obj_22_dc;obj_22_pco;obj_22_podemos;obj_22_rep;obj_22_psol;obj_22_pl;obj_22_psd;obj_22_patri;obj_22_pros;obj_22_sdd;obj_22_novo;obj_22_rede;obj_22_pmb;obj_22_uniao;obj_22_up
20180285;7;9;4;4;10;4;4;7;8;7;6;8;4;6;6;9;0;1;7;4;8;0;6;7;9;1;8;6;9;6;6;6;6;4;6;office-seeking;office-seeking;policy-seeking;policy-seeking;policy-seeking;policy-seeking;office-seeking;policy-seeking;vote-seeking;vote-seeking;vote-seeking;vote-seeking;vote-seeking;vote-seeking;vote-seeking;office-seeking;policy-seeking;policy-seeking;vote-seeking;vote-seeking;vote-seeking;policy-seeking;vote-seeking;vote-seeking;office-seeking;policy-seeking;office-seeking;office-seeking;vote-seeking;vote-seeking;vote-seeking;office-seeking;policy-seeking;policy-seeking;vote-seeking;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180286;;8;4;3;8;0;4;6;5;10;9;7;5;6;6;9;0;0;6;8;7;0;9;10;6;0;6;6;7;6;6;6;;4;6;vote-seeking;office-seeking;policy-seeking;policy-seeking;vote-seeking;policy-seeking;policy-seeking;policy-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;policy-seeking;office-seeking;não sei;não sei;office-seeking;office-seeking;office-seeking;não sei;vote-seeking;policy-seeking;office-seeking;policy-seeking;office-seeking;office-seeking;office-seeking;office-seeking;vote-seeking;vote-seeking;policy-seeking;policy-seeking;office-seeking;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180287;5;9;6;4;9;2;4;5;7;9;8;9;5;6;9;10;1;1;8;7;10;1;8;8;8;1;10;7;9;8;9;9;10;4;8;vote-seeking;office-seeking;vote-seeking;vote-seeking;vote-seeking;policy-seeking;office-seeking;vote-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;policy-seeking;office-seeking;office-seeking;policy-seeking;policy-seeking;office-seeking;office-seeking;office-seeking;policy-seeking;office-seeking;policy-seeking;office-seeking;policy-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180288;10;9;4;2;10;3;;9;10;10;6;8;9;;10;9;0;0;9;7;9;4;9;8;9;0;9;9;4;10;8;8;10;6;9;office-seeking;office-seeking;office-seeking;vote-seeking;office-seeking;office-seeking;vote-seeking;vote-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;vote-seeking;não sei;office-seeking;policy-seeking;policy-seeking;office-seeking;office-seeking;office-seeking;não sei;não sei;office-seeking;office-seeking;policy-seeking;office-seeking;office-seeking;vote-seeking;office-seeking;office-seeking;office-seeking;não sei;não sei;não sei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180289;10;5;3;0;10;0;2;10;8;10;7;7;;;7;10;2;2;7;;8;4;10;10;10;0;8;6;10;7;10;10;;;7;vote-seeking;vote-seeking;não sei;policy-seeking;vote-seeking;vote-seeking;policy-seeking;vote-seeking;não sei;vote-seeking;não sei;não sei;office-seeking;não sei;vote-seeking;office-seeking;não sei;office-seeking;não sei;não sei;office-seeking;não sei;não sei;vote-seeking;não sei;policy-seeking;vote-seeking;vote-seeking;não sei;não sei;não sei;vote-seeking;não sei;office-seeking;não sei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180290;6;4;4;4;9;4;4;8;7;6;6;6;4;6;6;9;0;4;7;6;8;0;6;6;6;1;7;6;6;7;6;7;8;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180291;9;7;9;6;10;2;4;8;10;10;9;9;9;8;9;9;1;1;9;9;10;0;9;9;9;2;9;8;9;10;9;8;9;8;9;vote-seeking;policy-seeking;policy-seeking;policy-seeking;policy-seeking;policy-seeking;policy-seeking;policy-seeking;vote-seeking;vote-seeking;office-seeking;não sei;office-seeking;vote-seeking;vote-seeking;office-seeking;policy-seeking;policy-seeking;vote-seeking;não sei;office-seeking;policy-seeking;office-seeking;não sei;office-seeking;policy-seeking;não sei;não sei;office-seeking;office-seeking;não sei;policy-seeking;vote-seeking;policy-seeking;não sei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180292;6;8;4;4;8;4;4;6;8;6;7;8;6;6;8;6;0;0;7;7;7;0;10;10;6;0;6;6;10;10;8;8;8;6;8;vote-seeking;office-seeking;office-seeking;policy-seeking;vote-seeking;office-seeking;vote-seeking;vote-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;policy-seeking;policy-seeking;office-seeking;office-seeking;office-seeking;policy-seeking;office-seeking;office-seeking;office-seeking;policy-seeking;office-seeking;office-seeking;policy-seeking;policy-seeking;office-seeking;office-seeking;policy-seeking;não sei;office-seeking;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180293;;;4;3;10;0;;7;;10;6;;;;;8;0;0;;;10;0;8;;6;1;;;6;;;;;6;6;office-seeking;vote-seeking;policy-seeking;policy-seeking;policy-seeking;policy-seeking;office-seeking;policy-seeking;não sei;office-seeking;não sei;não sei;;policy-seeking;não sei;office-seeking;policy-seeking;policy-seeking;não sei;não sei;não sei;policy-seeking;vote-seeking;não sei;não sei;policy-seeking;não sei;office-seeking;não sei;;não sei;office-seeking;policy-seeking;policy-seeking;não sei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180294;;6;4;3;7;2;4;7;8;8;8;7;5;5;7;9;0;1;7;7;8;0;8;6;8;1;6;7;10;10;6;6;8;4;7;office-seeking;office-seeking;policy-seeking;policy-seeking;policy-seeking;policy-seeking;vote-seeking;policy-seeking;não sei;policy-seeking;office-seeking;não sei;office-seeking;vote-seeking;vote-seeking;office-seeking;não sei;não sei;não sei;office-seeking;office-seeking;não sei;vote-seeking;office-seeking;office-seeking;policy-seeking;office-seeking;office-seeking;policy-seeking;policy-seeking;office-seeking;office-seeking;policy-seeking;policy-seeking;não sei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180295;6;6;4;4;8;3;4;6;9;9;5;7;5;5;5;6;0;1;9;5;9;1;6;9;6;2;6;6;6;10;5;6;6;4;5;office-seeking;office-seeking;policy-seeking;policy-seeking;vote-seeking;policy-seeking;vote-seeking;office-seeking;vote-seeking;vote-seeking;vote-seeking;vote-seeking;vote-seeking;policy-seeking;vote-seeking;office-seeking;policy-seeking;policy-seeking;policy-seeking;vote-seeking;policy-seeking;policy-seeking;vote-seeking;policy-seeking;office-seeking;policy-seeking;office-seeking;office-seeking;vote-seeking;vote-seeking;vote-seeking;office-seeking;policy-seeking;policy-seeking;vote-seeking;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180296;7;6;4;4;9;3;3;7;8;9;9;7;6;6;5;10;1;1;8;7;8;0;7;10;8;1;10;6;8;8;10;6;7;7;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180297;6;6;4;4;8;4;4;6;7;9;6;7;;4;7;8;0;0;6;6;7;0;6;6;8;4;6;6;2;6;6;6;8;4;6;vote-seeking;office-seeking;office-seeking;vote-seeking;office-seeking;vote-seeking;office-seeking;vote-seeking;office-seeking;office-seeking;office-seeking;office-seeking;vote-seeking;policy-seeking;office-seeking;office-seeking;policy-seeking;policy-seeking;office-seeking;office-seeking;office-seeking;policy-seeking;office-seeking;office-seeking;office-seeking;policy-seeking;office-seeking;vote-seeking;;office-seeking;office-seeking;office-seeking;policy-seeking;policy-seeking;office-seeking;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180298;9;9;5;3;10;3;6;9;8;9;7;7;4;8;7;8;2;1;10;9;9;1;9;10;8;1;9;9;4;9;6;6;10;5;9;office-seeking;não sei;office-seeking;policy-seeking;vote-seeking;policy-seeking;office-seeking;vote-seeking;não sei;policy-seeking;não sei;não sei;não sei;não sei;não sei;office-seeking;policy-seeking;policy-seeking;não sei;não sei;vote-seeking;policy-seeking;office-seeking;não sei;não sei;policy-seeking;não sei;não sei;não sei;não sei;não sei;não sei;não sei;não sei;vote-seeking;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180299;7;7;3;3;9;2;4;7;7;8;8;7;1;;;8;0;1;6;9;8;1;9;9;8;2;8;7;9;7;8;8;;7;7;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;policy-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;office-seeking;policy-seeking;office-seeking;office-seeking;vote-seeking;policy-seeking;office-seeking;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180300;8;3;4;2;8;0;2;6;10;8;10;8;3;3;;10;0;0;5;8;10;0;;7;10;2;10;10;10;;10;4;;4;;vote-seeking;office-seeking;office-seeking;vote-seeking;vote-seeking;policy-seeking;office-seeking;vote-seeking;vote-seeking;office-seeking;vote-seeking;vote-seeking;office-seeking;office-seeking;office-seeking;vote-seeking;policy-seeking;policy-seeking;não sei;não sei;vote-seeking;policy-seeking;office-seeking;vote-seeking;não sei;office-seeking;não sei;vote-seeking;vote-seeking;não sei;não sei;office-seeking;office-seeking;office-seeking;não sei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20180301;6;6;5;4;7;2;4;5;7;7;6;7;4;5;7;7;0;1;7;6;7;;7;7;7;1;8;8;7;6;6;7;6;4;7;office-seeking;vote-seeking;office-seeking;policy-seeking;policy-seeking;policy-seeking;policy-seeking;policy-seeking;não sei;office-seeking;vote-seeking;vote-seeking;policy-seeking;policy-seeking;não sei;office-seeking;policy-seeking;policy-seeking;não sei;office-seeking;não sei;policy-seeking;vote-seeking;não sei;vote-seeking;policy-seeking;vote-seeking;office-seeking;vote-seeking;não sei;vote-seeking;office-seeking;policy-seeking;policy-seeking;não sei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
